"Cód_IBGE","Município","Sigla UF","Região","Mês/Ano","Vítimas"
"1200401","Rio Branco","AC","NORTE","Oct-22","4"
"1200500","Sena Madureira","AC","NORTE","Oct-22","1"
"1200609","Tarauacá","AC","NORTE","Oct-22","1"
"1200013","Acrelândia","AC","NORTE","Nov-22","3"
"1200104","Brasiléia","AC","NORTE","Nov-22","2"
"1200203","Cruzeiro Do Sul","AC","NORTE","Nov-22","3"
"1200252","Epitaciolândia","AC","NORTE","Nov-22","1"
"1200336","Mâncio Lima","AC","NORTE","Nov-22","1"
"1200344","Manoel Urbano","AC","NORTE","Nov-22","1"
"1200401","Rio Branco","AC","NORTE","Nov-22","10"
"1200500","Sena Madureira","AC","NORTE","Nov-22","2"
"1200450","Senador Guiomard","AC","NORTE","Nov-22","3"
"1200609","Tarauacá","AC","NORTE","Nov-22","1"
"1200708","Xapuri","AC","NORTE","Nov-22","2"
"1200203","Cruzeiro Do Sul","AC","NORTE","Dec-22","1"
"1200302","Feijó","AC","NORTE","Dec-22","1"
"1200328","Jordão","AC","NORTE","Dec-22","1"
"1200401","Rio Branco","AC","NORTE","Dec-22","11"
"1200500","Sena Madureira","AC","NORTE","Dec-22","2"
"1200450","Senador Guiomard","AC","NORTE","Dec-22","5"
"1200609","Tarauacá","AC","NORTE","Dec-22","1"
